fips_code,county_name,state_abbr,inat_place_id
01001,Autauga,AL,1475
01003,Baldwin,AL,481
01005,Barbour,AL,2127
01007,Bibb,AL,2285
01009,Blount,AL,2066
01011,Bullock,AL,1383
01013,Butler,AL,993
01015,Calhoun,AL,1481
01017,Chambers,AL,2750
01019,Cherokee,AL,200
01021,Chilton,AL,772
01023,Choctaw,AL,2084
01025,Clarke,AL,633
01027,Clay,AL,1306
01029,Cleburne,AL,246
01031,Coffee,AL,2751
01033,Colbert,AL,635
01035,Conecuh,AL,2806
01037,Coosa,AL,1788
01039,Covington,AL,2809
01041,Crenshaw,AL,1384
01043,Cullman,AL,1385
01045,Dale,AL,2131
01047,Dallas,AL,1478
01049,De Kalb,AL,991
01051,Elmore,AL,2315
01053,Escambia,AL,1308
01055,Etowah,AL,2597
01057,Fayette,AL,2090
01059,Franklin,AL,1013
01061,Geneva,AL,2781
01063,Greene,AL,2082
01065,Hale,AL,2795
01067,Henry,AL,1334
01069,Houston,AL,1335
01071,Jackson,AL,2134
01073,Jefferson,AL,343
01075,Lamar,AL,2793
01077,Lauderdale,AL,2014
01079,Lawrence,AL,1978
01081,Lee,AL,2276
01083,Limestone,AL,2863
01085,Lowndes,AL,2067
01087,Macon,AL,1307
01089,Madison,AL,2017
01091,Marengo,AL,2796
01093,Marion,AL,2121
01095,Marshall,AL,1386
01097,Mobile,AL,547
01099,Monroe,AL,632
01101,Montgomery,AL,2720
01103,Morgan,AL,339
01105,Perry,AL,2314
01107,Pickens,AL,1309
01109,Pike,AL,2862
01111,Randolph,AL,1786
01113,Russell,AL,638
01115,St Clair,AL,108241
01117,Shelby,AL,1249
01119,Sumter,AL,1310
01121,Talladega,AL,1819
01123,Tallapoosa,AL,2773
01125,Tuscaloosa,AL,2600
01127,Walker,AL,1981
01129,Washington,AL,432
01131,Wilcox,AL,2794
01133,Winston,AL,1312
02013,Aleutians East,AK,1479
02016,Aleutians West,AK,199
02020,Anchorage,AK,1794
02050,Bethel,AK,990
02060,Bristol Bay,AK,846
02068,Denali,AK,2774
02070,Dillingham,AK,1867
02090,Fairbanks North Star,AK,960
02100,Haines,AK,1790
02110,Juneau,AK,13423
02122,Kenai Peninsula,AK,341
