state_abbrev,state_fips,inat_place_id
AL,1,19
AK,2,6
AZ,4,40
AR,5,36
CA,6,14
CO,8,34
CT,9,49
DE,10,4
FL,12,21
GA,13,23
HI,15,11
ID,16,22
IL,17,35
IN,18,20
IA,19,24
KS,20,25
KY,21,26
LA,22,27
ME,23,17
MD,24,39
MA,25,2
MI,26,29
MN,27,38
MS,28,37
MO,29,28
MT,30,16
NE,31,3
NV,32,50
NH,33,41
NJ,34,51
NM,35,9
NY,36,48
NC,37,30
ND,38,13
OH,39,31
OK,40,12
OR,41,10
PA,42,42
RI,44,8
SC,45,43
SD,46,44
TN,47,45
TX,48,18
UT,49,52
VT,50,47
VA,51,7
WA,53,46
WV,54,33
WI,55,32
WY,56,15
